,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education,Income
19790,USA,1845,1.0,0.7202141900937082,0.00026157019558963274,0.9586776859504131,0.0,0.0,high_income
19791,USA,1846,1.0,0.7202141900937082,0.0003232006408937447,0.9586776859504131,0.0,0.0,high_income
19792,USA,1847,1.0,0.7202141900937082,0.0004201924755300696,0.9586776859504131,0.0,0.0,high_income
19793,USA,1848,1.0,0.7202141900937082,0.0004146634564366215,0.9586776859504131,0.0,0.0,high_income
19794,USA,1849,1.0,0.7202141900937082,0.00041979981250181507,0.9586776859504131,0.0,0.0,high_income
19795,USA,1850,1.0,0.7202141900937082,0.0004557669660978813,0.9586776859504131,0.0,0.0,high_income
19796,USA,1851,1.0,0.7202141900937082,0.0004878059382121661,0.9586776859504131,0.0,0.0,high_income
19797,USA,1852,1.0,0.7202141900937082,0.0005809956996721751,0.9586776859504131,0.0,0.0,high_income
19798,USA,1853,1.0,0.7202141900937082,0.0006490790080255986,0.9586776859504131,0.0,0.0,high_income
19799,USA,1854,1.0,0.7202141900937082,0.0007578093542218284,0.9586776859504131,0.0,0.0,high_income
19800,USA,1855,1.0,0.7202141900937082,0.000827587410627159,0.9586776859504131,0.0,0.0,high_income
19801,USA,1856,1.0,0.7202141900937082,0.0008415945720320284,0.9586776859504131,0.0,0.0,high_income
19802,USA,1857,1.0,0.7202141900937082,0.0008814699511413248,0.9586776859504131,0.0,0.0,high_income
19803,USA,1858,1.0,0.7202141900937082,0.0008651317146033135,0.9586776859504131,0.0,0.0,high_income
19804,USA,1859,1.0,0.7202141900937082,0.0009447919163259606,0.9586776859504131,0.0,0.0,high_income
19805,USA,1860,1.0,0.7202141900937082,0.0009467006460238436,0.9586776859504131,0.0,0.0,high_income
19806,USA,1861,1.0,0.7202141900937082,0.001035932753216585,0.9586776859504131,0.0,0.0,high_income
19807,USA,1862,1.0,0.7202141900937082,0.0011389447082396501,0.9586776859504131,0.0,0.0,high_income
19808,USA,1863,1.0,0.7202141900937082,0.0011866231225982301,0.9586776859504131,0.0,0.0,high_income
19809,USA,1864,1.0,0.7202141900937082,0.001016354354944463,0.9586776859504131,0.0,0.0,high_income
19810,USA,1865,1.0,0.7202141900937082,0.0014608114226010984,0.9586776859504131,0.0,0.0,high_income
19811,USA,1866,1.0,0.7202141900937082,0.001491425890724989,0.9586776859504131,0.0,0.0,high_income
19812,USA,1867,1.0,0.7202141900937082,0.001396070235888332,0.9586776859504131,0.0,0.0,high_income
19813,USA,1868,1.0,0.7202141900937082,0.0013400246528501682,0.9586776859504131,0.0,0.0,high_income
19814,USA,1869,1.0,0.7202141900937082,0.0013617758200847416,0.9586776859504131,0.0,0.0,high_income
19815,USA,1870,1.0,0.7202141900937082,0.0015935778105823897,0.9586776859504131,0.0,0.0,high_income
19816,USA,1871,1.0,0.7202141900937082,0.00160128131753474,0.9586776859504131,0.0,0.0,high_income
19817,USA,1872,1.0,0.7202141900937082,0.001761294981265665,0.9586776859504131,0.0,0.0,high_income
19818,USA,1873,1.0,0.7202141900937082,0.0018490056554779071,0.9586776859504131,0.0,0.0,high_income
19819,USA,1874,1.0,0.7202141900937082,0.0018314004664827259,0.9586776859504131,0.0,0.0,high_income
19820,USA,1875,1.0,0.7202141900937082,0.0016926358845255184,0.9586776859504131,0.0,0.0,high_income
19821,USA,1876,1.0,0.7202141900937082,0.00178800059501177,0.9586776859504131,0.0,0.0,high_income
19822,USA,1877,1.0,0.7202141900937082,0.0019822161056837627,0.9586776859504131,0.0,0.0,high_income
19823,USA,1878,1.0,0.7202141900937082,0.0020281783905955596,0.9586776859504131,0.0,0.0,high_income
19824,USA,1879,1.0,0.7202141900937082,0.0023117225182073624,0.9586776859504131,0.0,0.0,high_income
19825,USA,1880,1.0,0.7202141900937082,0.002590601812397446,0.9586776859504131,0.0,0.0,high_income
19826,USA,1881,1.0,0.7202141900937082,0.002945416585474147,0.9586776859504131,0.014613252708490761,0.0,high_income
19827,USA,1882,1.0,0.7202141900937082,0.003078230431767203,0.9586776859504131,0.029226505416981702,0.0,high_income
19828,USA,1883,1.0,0.7202141900937082,0.0031208657716362744,0.9586776859504131,0.043839758125472465,0.0,high_income
19829,USA,1884,1.0,0.7202141900937082,0.002972137795061221,0.9586776859504131,0.058453010833963225,0.0,high_income
19830,USA,1885,1.0,0.7202141900937082,0.0029190559248987104,0.9586776859504131,0.07306626354245417,0.0,high_income
19831,USA,1886,1.0,0.7202141900937082,0.0030755295004270076,0.9586776859504131,0.08767951625094493,0.0,high_income
19832,USA,1887,1.0,0.7202141900937082,0.00334551228967926,0.9586776859504131,0.10229276895943569,0.0,high_income
19833,USA,1888,1.0,0.7202141900937082,0.0035271424597813424,0.9586776859504131,0.11690602166792645,0.0,high_income
19834,USA,1889,1.0,0.7202141900937082,0.003525478232622513,0.9586776859504131,0.1315192743764174,0.0,high_income
19835,USA,1890,1.0,0.7202141900937082,0.0038640709833310007,0.9586776859504131,0.14613252708490815,0.0,high_income
19836,USA,1891,1.0,0.7202141900937082,0.003954351449661531,0.9586776859504131,0.15550058407201284,0.0,high_income
19837,USA,1892,1.0,0.7202141900937082,0.004201170893434098,0.9586776859504131,0.16486864105911733,0.0,high_income
19838,USA,1893,1.0,0.7202141900937082,0.003954468166922973,0.9586776859504131,0.17423669804622202,0.0,high_income
19839,USA,1894,1.0,0.7202141900937082,0.003596841446949935,0.9586776859504131,0.18360475503332652,0.0,high_income
19840,USA,1895,1.0,0.7202141900937082,0.003984468863241008,0.9586776859504131,0.1929728120204312,0.0,high_income
19841,USA,1896,1.0,0.7202141900937082,0.003969061178547448,0.9586776859504131,0.2023408690075357,0.0,high_income
19842,USA,1897,1.0,0.7202141900937082,0.004154605401640972,0.9586776859504131,0.21170892599464036,0.0,high_income
19843,USA,1898,1.0,0.7202141900937082,0.004697690819128029,0.9586776859504131,0.22107698298174489,0.0,high_income
19844,USA,1899,1.0,0.7202141900937082,0.005066401318810422,0.9586776859504131,0.23044503996884955,0.0,high_income
19845,USA,1900,1.0,0.7202141900937082,0.005355159152827706,0.9586776859504131,0.23981309695595404,0.0,high_income
19846,USA,1901,1.0,0.7202141900937082,0.00580614358302129,0.9586776859504131,0.24918115394305873,0.0,high_income
19847,USA,1902,1.0,0.7202141900937082,0.006295926105416843,0.9586776859504131,0.2794154698916605,0.0,high_income
19848,USA,1903,1.0,0.7202141900937082,0.006813494043924049,0.9586776859504131,0.28193499622071067,0.0,high_income
19849,USA,1904,1.0,0.7202141900937082,0.006738820486578159,0.9586776859504131,0.25673973293020924,0.0,high_income
19850,USA,1905,1.0,0.7202141900937082,0.007590877289555355,0.9586776859504131,0.2743764172335601,0.0,high_income
19851,USA,1906,1.0,0.7202141900937082,0.008222860342140405,0.9586776859504131,0.2693373645754599,0.0,high_income
19852,USA,1907,1.0,0.7202141900937082,0.008976820311609216,0.9586776859504131,0.27185689090451015,0.0,high_income
19853,USA,1908,1.0,0.7202141900937082,0.007952418397914263,0.9586776859504131,0.3146888384983624,0.0,high_income
19854,USA,1909,1.0,0.7202141900937082,0.008509594406170511,0.9586776859504131,0.3373645754598136,0.0,high_income
19855,USA,1910,1.0,0.7202141900937082,0.008851499512264044,0.9586776859504131,0.3121693121693122,0.0,high_income
19856,USA,1911,1.0,0.7202141900937082,0.009106281219791266,0.9586776859504131,0.35248173343411443,0.0,high_income
19857,USA,1912,1.0,0.7202141900937082,0.009923740075006236,0.9586776859504131,0.3701184177374655,0.0,high_income
19858,USA,1913,1.0,0.7202141900937082,0.010395642049580047,0.9586776859504131,0.35500125976316466,0.0,high_income
19859,USA,1914,1.0,0.7202141900937082,0.009547376545233122,0.9586776859504131,0.3827160493827162,0.0,high_income
