,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education
202,GRC,1990,1127.0,1.486,55130009600.0,0.299,77.3,11.33
203,GRC,1995,903.0,1.3908,86735437824.0,0.262,77.8,12.76
204,GRC,2000,685.0,1.3282,86009487360.0,0.205,78.4,12.22
205,GRC,2005,506.0,1.3495,136280145920.0,0.178,79.6,19.3
206,GRC,2010,422.0,1.4449,193752055808.0,0.152,80.5,22.5
207,GTM,1990,28323.0,5.4803,4308375040.0,0.592,62.5,1.53
208,GTM,1995,24696.0,5.1051,9287619584.0,0.577,64.2,1.69
209,GTM,2000,21218.0,4.5825,12749732864.0,0.584,67.4,1.74
210,GTM,2005,17537.0,3.9743,14966202368.0,0.576,69.2,1.54
211,GTM,2010,14055.0,3.3752,,,70.9,
212,GUY,2000,909.0,3.0169,471024320.0,0.561,64.5,0.06
213,GUY,2005,714.0,2.8398,453682656.0,0.526,65.1,0.15
214,GUY,2010,597.0,2.6552,1462163968.0,0.496,66.7,0.24
215,HND,2000,8139.0,4.237,4696273920.0,0.534,68.7,2.39
216,HND,2005,6367.0,3.5453,5319600128.0,0.47,70.1,2.46
217,HND,2010,4874.0,2.957,10250891264.0,0.469,71.1,1.93
218,HRV,1995,494.0,1.6271,14186281984.0,0.286,73.2,4.53
219,HRV,2000,381.0,1.4655,14391292928.0,0.191,74.6,6.29
220,HRV,2005,284.0,1.4968,24978749440.0,0.158,75.4,8.73
221,HRV,2010,235.0,1.5456,38624047104.0,0.136,76.8,11.04
222,HTI,2005,24085.0,3.8331,2370688256.0,0.593,60.4,0.6
223,HTI,2010,57754.0,3.4697,4285969664.0,0.625,46.0,0.67
224,HUN,1990,2146.0,1.8635,18616068096.0,0.339,69.4,7.48
225,HUN,1995,1415.0,1.5664,29274834944.0,0.314,70.0,8.52
226,HUN,2000,988.0,1.316,31176030208.0,0.291,71.8,9.36
227,HUN,2005,718.0,1.3066,61891772416.0,0.262,72.9,12.57
228,HUN,2010,559.0,1.2543,84193943552.0,0.24,74.5,15.38
229,IDN,1990,393314.0,3.0981,64442368000.0,0.6,63.2,0.98
230,IDN,1995,298226.0,2.7983,128084598784.0,0.571,65.2,1.15
231,IDN,2000,236750.0,2.536,109067501568.0,0.57,66.4,1.21
