,Unnamed,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education
20014,9915,JEY,1964,,0.9830841856805664,,,0.2777777777777779,
20015,9916,JEY,1965,,0.9258851298190399,,,0.2142857142857146,
20016,9917,JEY,1966,,0.8502753737214791,,,0.26984126984126927,
20017,9918,JEY,1967,,0.7712824547600313,,,0.3174603174603176,
20018,9919,JEY,1968,,0.6867033831628638,,,0.1587301587301588,
20019,9920,JEY,1969,,0.6043273013375293,,,0.1825396825396824,
20020,9921,JEY,1970,,0.5194335169158142,,,0.0873015873015869,
20021,9922,JEY,1971,,0.4224232887490164,,,0.1666666666666663,
20022,9923,JEY,1972,,0.3044059795436664,,,0.1269841269841266,
20023,9924,JEY,1973,,0.21549960660896914,,,0.1746031746031749,
20024,9925,JEY,1974,,0.14122738001573562,,,0.1984126984126985,
20025,9926,JEY,1975,,0.08985051140833977,,,0.1269841269841266,
20026,9927,JEY,1976,,0.05263571990558612,,,0.2301587301587296,
20027,9928,JEY,1977,,0.04602675059008654,,,0.2619047619047618,
20028,9929,JEY,1978,,0.03918174665617611,,,0.2619047619047618,
20029,9930,JEY,1979,,0.033752950432730085,,,0.19047619047618988,
20030,9931,JEY,1980,,0.01982690794649873,,,0.2777777777777779,
20031,9932,JEY,1981,,0.005114083398898466,,,0.3412698412698412,
20032,9933,JEY,1982,,0.0,,,0.4841269841269839,
20033,9934,JEY,1983,,0.00196695515342246,,,0.3730158730158734,
20034,9935,JEY,1984,,0.004878048780487791,,,0.5793650793650794,
20035,9936,JEY,1985,,0.005350118017309139,,,0.5,
20036,9937,JEY,1986,,0.017545239968528706,,,0.5238095238095236,
20037,9938,JEY,1987,,0.03981117230527142,,,0.5873015873015869,
20038,9939,JEY,1988,,0.06121164437450815,,,0.6428571428571427,
20039,9940,JEY,1989,,0.07498033044846572,,,0.6428571428571427,
20040,9941,JEY,1990,,0.08095987411487017,,,0.6349206349206352,
20041,9942,JEY,1991,,0.08678206136900066,,,0.6428571428571427,
20042,9943,JEY,1992,,0.10432730133752936,,,0.7142857142857146,
