,Entity,Code,Year,Deaths,LifeExpectancy,GenderInequality,GDP ,Fertility,tertiary_education
210,Ghana,GHA,2000,66852,58.2,0.604,3293435392.0,4.8545,1.84
211,Ghana,GHA,2005,59481,59.8,0.573,5902376960.0,4.538,1.66
212,Ghana,GHA,2010,53884,61.2,0.573,20822837248.0,4.2064,1.44
213,Greece,GRC,1990,1127,77.3,0.299,55130009600.0,1.486,11.33
214,Greece,GRC,1995,903,77.8,0.262,86735437824.0,1.3908,12.76
215,Greece,GRC,2000,685,78.4,0.205,86009487360.0,1.3282,12.22
216,Greece,GRC,2005,506,79.6,0.178,136280145920.0,1.3495,19.3
217,Greece,GRC,2010,422,80.5,0.152,193752055808.0,1.4449,22.5
218,Guatemala,GTM,1990,28323,62.5,0.592,4308375040.0,5.4803,1.53
219,Guatemala,GTM,1995,24696,64.2,0.577,9287619584.0,5.1051,1.69
220,Guatemala,GTM,2000,21218,67.4,0.584,12749732864.0,4.5825,1.74
221,Guatemala,GTM,2005,17537,69.2,0.576,14966202368.0,3.9743,1.54
222,Guatemala,GTM,2010,14055,70.9,0.549,26753091584.0,3.3752,0.0
223,Guyana,GUY,2000,909,64.5,0.561,471024320.0,3.0169,0.06
224,Guyana,GUY,2005,714,65.1,0.526,453682656.0,2.8398,0.15
225,Guyana,GUY,2010,597,66.7,0.496,1462163968.0,2.6552,0.24
226,Haiti,HTI,2005,24085,60.4,0.593,2370688256.0,3.8331,0.6
227,Haiti,HTI,2010,57754,46.0,0.625,4285969664.0,3.4697,0.67
228,Honduras,HND,2000,8139,68.7,0.534,4696273920.0,4.237,2.39
229,Honduras,HND,2005,6367,70.1,0.47,5319600128.0,3.5453,2.46
230,Honduras,HND,2010,4874,71.1,0.469,10250891264.0,2.957,1.93
231,Hungary,HUN,1990,2146,69.4,0.339,18616068096.0,1.8635,7.48
232,Hungary,HUN,1995,1415,70.0,0.314,29274834944.0,1.5664,8.52
233,Hungary,HUN,2000,988,71.8,0.291,31176030208.0,1.316,9.36
234,Hungary,HUN,2005,718,72.9,0.262,61891772416.0,1.3066,12.57
235,Hungary,HUN,2010,559,74.5,0.24,84193943552.0,1.2543,15.38
236,Iceland,ISL,1990,28,78.2,0.187,3672783872.0,2.2939,6.94
237,Iceland,ISL,1995,23,78.2,0.157,4550868992.0,2.0835,8.54
238,Iceland,ISL,2000,17,79.9,0.141,5898634240.0,2.0705,10.71
239,Iceland,ISL,2005,14,81.2,0.107,9212086272.0,2.045,14.08
240,Iceland,ISL,2010,12,81.7,0.093,8566635520.0,2.1904,17.89
241,India,IND,1990,3418076,58.7,0.71,183938121728.0,4.0446,2.23
242,India,IND,1995,2993896,60.6,0.701,232302804992.0,3.6511,3.36
243,India,IND,2000,2529252,62.7,0.664,315005763584.0,3.3498,4.01
244,India,IND,2005,2047439,65.0,0.618,458816389120.0,2.9584,4.38
245,India,IND,2010,1525847,66.9,0.582,1105678696448.0,2.603,4.85
246,Indonesia,IDN,1990,393314,63.2,0.6,64442368000.0,3.0981,0.98
247,Indonesia,IDN,1995,298226,65.2,0.571,128084598784.0,2.7983,1.15
248,Indonesia,IDN,2000,236750,66.4,0.57,109067501568.0,2.536,1.21
249,Indonesia,IDN,2005,202096,67.6,0.544,157227171840.0,2.4329,2.67
250,Indonesia,IDN,2010,169104,68.7,0.499,488681078784.0,2.452,3.73
251,Iran,IRN,1990,105884,64.4,0.708,70291963904.0,4.8628,4.13
252,Iran,IRN,1995,65304,67.8,0.642,61097779200.0,2.8854,6.36
253,Iran,IRN,2000,42629,69.7,0.583,72432558080.0,2.0164,8.0
254,Iran,IRN,2005,31528,71.8,0.513,120914837504.0,1.775,9.74
255,Iran,IRN,2010,25398,73.1,0.525,302744010752.0,1.7677,14.66
256,Iraq,IRQ,1990,34872,58.4,0.721,27402739712.0,5.8844,3.8
257,Iraq,IRQ,2005,35737,64.8,0.665,27475089408.0,4.4747,6.75
258,Iraq,IRQ,2010,34512,67.1,0.574,89645113344.0,4.4292,8.77
259,Ireland,IRL,1990,492,74.8,0.211,27798994944.0,2.1065,10.61
260,Ireland,IRL,1995,363,75.5,0.191,43860914176.0,1.8454,14.07
261,Ireland,IRL,2000,386,76.5,0.202,65983361024.0,1.8933,16.37
262,Ireland,IRL,2005,332,78.9,0.182,116263354368.0,1.8665,20.47
263,Ireland,IRL,2010,299,80.5,0.163,142428635136.0,2.0562,26.8
264,Israel,ISR,1990,1137,77.2,0.27,29561344000.0,3.1792,14.2
265,Israel,ISR,1995,939,77.6,0.242,63347019776.0,2.9389,16.27
266,Israel,ISR,2000,849,78.9,0.193,87505076224.0,2.9464,18.34
267,Israel,ISR,2005,760,80.2,0.168,78560354304.0,2.8417,18.8
268,Israel,ISR,2010,696,81.7,0.145,151648108544.0,3.0268,20.26
269,Italy,ITA,1990,5422,77.0,0.212,663043112960.0,1.3321,3.53
270,Italy,ITA,1995,4038,78.1,0.195,741890523136.0,1.1924,4.5
271,Italy,ITA,2000,2963,79.6,0.186,754624626688.0,1.2542,4.99
272,Italy,ITA,2005,2500,81.0,0.175,1018960347136.0,1.3426,5.6
273,Italy,ITA,2010,2226,82.1,0.123,1375374934016.0,1.4503,6.84
274,Jamaica,JAM,1990,1875,72.3,0.471,2586226176.0,2.8543,1.73
275,Jamaica,JAM,1995,1558,71.5,0.465,3662148096.0,2.8808,4.4
276,Jamaica,JAM,2000,1270,70.9,0.434,5901700608.0,2.2105,7.09
277,Jamaica,JAM,2005,1053,71.0,0.436,6162405888.0,2.063,7.7
278,Jamaica,JAM,2010,904,72.6,0.417,8536623104.0,1.7422,8.37
279,Japan,JPN,1990,8358,79.0,0.162,1747931365376.0,1.5249,12.48
280,Japan,JPN,1995,6938,79.7,0.159,3379938197504.0,1.4242,14.28
281,Japan,JPN,2000,5293,81.2,0.147,3126995714048.0,1.3668,16.15
282,Japan,JPN,2005,4237,82.0,0.142,2514517753856.0,1.2735,17.88
283,Japan,JPN,2010,3555,82.9,0.114,3558654869504.0,1.3878,18.91
284,Jordan,JOR,1990,4466,69.9,0.671,2342776320.0,5.4782,3.48
285,Jordan,JOR,1995,4509,70.9,0.642,4262967552.0,4.6619,3.62
286,Jordan,JOR,2000,4292,71.9,0.593,5590104064.0,3.9213,3.74
287,Jordan,JOR,2005,4098,72.9,0.519,6923740160.0,3.779,3.98
288,Jordan,JOR,2010,4109,74.0,0.482,17101949952.0,3.7776,3.8
289,Kazakhstan,KAZ,1990,20024,64.9,0.427,15167893504.0,2.8305,5.84
290,Kazakhstan,KAZ,1995,15746,63.7,0.439,12910545920.0,2.2715,7.3
291,Kazakhstan,KAZ,2000,10129,64.2,0.377,12089743360.0,1.9467,8.42
292,Kazakhstan,KAZ,2005,8665,65.1,0.349,31417905152.0,2.2434,13.48
293,Kazakhstan,KAZ,2010,7294,68.1,0.278,95813132288.0,2.5897,14.03
294,Kenya,KEN,1990,100047,58.6,0.716,4827755520.0,6.1294,1.29
295,Kenya,KEN,1995,118731,55.6,0.704,5732367360.0,5.3664,1.74
296,Kenya,KEN,2000,120666,54.4,0.69,8397364224.0,5.1369,2.26
297,Kenya,KEN,2005,104029,57.3,0.647,10305804288.0,4.7842,2.84
298,Kenya,KEN,2010,83648,60.6,0.595,25886941184.0,4.3667,3.4
299,Kuwait,KWT,1990,764,73.3,0.591,10378100736.0,3.318,6.1
300,Kuwait,KWT,1995,550,75.5,0.597,17230503936.0,3.0457,6.3
301,Kuwait,KWT,2000,542,76.7,0.56,24924940288.0,2.7368,5.39
302,Kuwait,KWT,2005,552,76.9,0.36,44438704128.0,2.6616,4.18
303,Kuwait,KWT,2010,595,78.0,0.225,74696785920.0,2.2566,4.28
304,Kyrgyzstan,KGZ,1990,8879,64.3,0.493,1505935232.0,3.8029,6.63
305,Kyrgyzstan,KGZ,1995,7794,63.9,0.518,1052534272.0,3.3221,6.61
306,Kyrgyzstan,KGZ,2000,5341,65.4,0.451,905271808.0,2.6172,6.81
307,Kyrgyzstan,KGZ,2005,4218,66.4,0.669,1353130752.0,2.6577,7.56
308,Kyrgyzstan,KGZ,2010,4119,68.3,0.378,3102807808.0,3.0624,9.0
